Date,Calories,steps,Distance(kms),HeartRate,SleepHrs
2019-10-01,1331.00,7981.00,4.29,124,6
2019-10-02,1467.00,11498.00,6.37,120,10
2019-10-03,1407.00,10938.00,7.87,141,9
2019-10-04,1477.00,12832.00,5.89,135,8
2019-10-05,1222.00,6315.00,5.39,143,8
2019-10-06,950.00,855.00,0.46,125,5
2019-10-07,1256.00,7461.00,4.01,132,7
2019-10-08,1445.00,11347.00,6.09,141,9
2019-10-09,1377.00,8813.00,4.73,147,8
2019-10-10,1333.00,8491.00,4.56,128,8
2019-10-11,1514.00,13459.00,7.38,141,10
2019-10-12,1470.00,11237.00,6.03,136,9
2019-10-13,1202.00,5324.00,2.86,144,5
2019-10-14,1237.00,6344.00,3.49,125,7
2019-10-15,943.00,2604.00,1.40,145,6
2019-10-16,1485.00,11842.00,6.48,135,11
2019-10-17,1414.00,10206.00,5.52,136,10
2019-10-18,1494.00,12504.00,6.76,149,7
2019-10-19,1299.00,8310.00,4.46,124,7
2019-10-20,1382.00,10956.00,5.97,148,7
2019-10-21,1494.00,12450.00,6.69,146,10
2019-10-22,1241.00,6197.00,3.41,137,7
2019-10-23,1447.00,11367.00,6.19,131,10
2019-10-24,1641.00,16355.00,8.78,132,8
2019-10-25,1444.00,10824.00,5.86,137,7
2019-10-26,1299.00,7575.00,4.07,130,7
2019-10-27,1111.00,4172.00,2.24,149,8
2019-10-28,1502.00,11979.00,6.30,147,10
2019-10-29,1483.00,12482.00,6.70,128,9
2019-10-30,1655.00,16051.00,8.62,139,10
